StoreId,CompleteStoreName,FoodType,AverageRating,Reviewers,City,Location,District
kzfn,Lucky Star Kitchen,Cha Chaan Teng,5.0,481,hong kong,"Shop CF1, 2/F, Cooked Food Centre, Aberdeen Municipal Services Building, 203 Aberdeen Main Road, Aberdeen,",Aberdeen
v3aw,Bistro,International,4.0,17,hong kong,"Shop 1-2, G/F, Jupiter Tower, 9 Jupiter Street, Tin Hau, Causeway Bay,",Tin Hau
wpwd,Treelansin,Hong Kong,4.5,12,hong kong,"Shop CF9, Cooked Food Centre, 2/F, Aberdeen Municipal Services Building, 203 Aberdeen Main Road, Aberdeen,",Aberdeen
s9vw,Nitaya Thai House,Thai,4.9,412,hong kong,"G/F, Sun Fat Mansion, 140-146A Tung Lo Wan Road, Tai Hang,",Tai Hang
s8tp,Cafe Locomotive Vietnamese (Tai Hang),Vietnamese,4.7,642,hong kong,"G/F, 11 Wun Sha Street, Tai Hang,",Tai Hang
b3eh,TT (Tin Hau),Taiwanese,4.6,62,hong kong,"Stall 2, Food Loft, G/F, Park Aura, 54 Electric Road, Tin Hau,",Tin Hau
sp9k,101 Binary,International,4.8,175,hong kong,"G/F, 16 Tsng Fung Street, Tin Hau, Hong Kong,",Tin Hau
l6w7,Yuen Hing Restaurant,Cha Chaan Teng,4.9,180,hong kong,"G/F, 18 Mercury Street, North Point,",North Point
mqny,Esc Cafe,Coffee,5.0,116,hong kong,"Shop 1, 1/F&G/F, 7 Wing Hing Street, Tin Hau, Causeway Bay,",Tin Hau
v5eq,Turkish Best Kebab,Kebab,2.1,70,hong kong,"G/F, 58 Tung Lo Wan Road, Tai Hang,",Tai Hang
w2lg,Hop Lee Congee Shop,Congee,4.8,2634,hong kong,"G/F, 21 Tung Sing Road, Aberdeen,",Aberdeen
