"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"w3tp","Chiuchow Garden (Star House)","Chiu Chow",3.0,23,"hong kong","2/F, East Half, Star House, 3 Salisbury Road, Tsim Sha Tsui,"
"f87c","Sweet Home","HK Dessert",4.9,1461,"hong kong","G/F, 206-208 Des Voeux Road West, Sai Ying Pun,"
"esxg","La Hind Ham Pizzaria (Sai Ying Pun)","Pizza",4.8,61,"hong kong","Shop 4, G/F, Wing Cheung Building, 19-29 Western Street, Sai Ying Pun,"
"u38a","Dara","Filipino",4.7,10,"hong kong","Shop 6, 1/F, Artisan House, 1 Sai Yuen Lane, Sai Ying Pun,"
"s4ik","Andrea's Bagel Crust Pizza","Pizza",4.9,1369,"hong kong","G/F, 117 First Street, Sai Ying Pun,"
"dfb8","Wakayama (Wan Chai)","Japanese",4.8,93,"hong kong","Shop 101-103 & 101A-103A, 1/F, Sun Hung Kai Centre, 30 Harbour Road, Wan Chai,"
"otm7","Kebap Kasabasi","Kebab",3.4,200,"hong kong","Shop 4, G/F, Wing Cheung Building, 19-29 Western Street, Sai Ying Pun, Western District,"
"vxh1","Chief's Blend","Western",4.9,183,"hong kong","Shop 4A, G/F, Lucky House, 17-21 Burrows Street, Wan Chai,"
"qa6o","Maek Jeok (Wan Chai)","Korean",4.8,94,"hong kong","Shop 104 - 108, 1/F, Sun Hung Kai Centre, No.30 Harbour Road, Wan Chai,"
"nfnf","Chan See Kee Restaurant","Hong Kong",4.4,190,"hong kong","G/F, 29 Western Street, Sai Ying Pun, Sai Ying Pun, HK,"
"w7ga","Torihana Tei Ramen","Ramen",4.3,38,"hong kong","Shop 15, G/F, Wah Tao Building, 22-30 Cross Lane, Wan Chai,"
"gf9w","Gangshao","Japanese",0.0,0,"hong kong","Shop 13, G/F, Pao Woo Mansion, 51 Cross Lane, Wan Chai,"
"s9oa","High Street Grill","Western",4.8,1288,"hong kong","Shop 4-5, G/F, Hang Sing Mansion, 48-78 High Street, Sai Ying Pun,"
"z4a3","Tea Moment","Drinks",0.0,0,"hong kong","Shop OT G03A, G/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui,"
"s8lg","1963 Treee","Taiwanese",4.8,544,"hong kong","2/F, Chung Wui Mansion, 110 Wan Chai Road, Wan Chai,"
"anf4","SPAGO","Italian",4.7,26,"hong kong","Shop 1, 1/F, Causeway Centre, 28 Harbour Road, Wan Chai,"
"v6gg","Taiwan Lang (Western District)","Taiwanese",4.6,920,"hong kong","G/F, Ching Tak Building, 260 Des Voeux Road West, Sai Ying Pun,"
"npiq","Chao Ka Roasted Goose","Chiu Chow",0.0,0,"hong kong","Shop B & C, G/F, 224-226 Des Voeux Road West, Sai Ying Pun,"
"baa4","Kowloon City Fu Kee Noodles","Hong Kong",4.9,197,"hong kong","Shop 6, G/F, 177-179 Wan Chai Road, Wan Chai,"
"g7vy","Gyudonya (Wan Chai)","Rice Bowl",0.0,0,"hong kong","Shop B, G/F, Eastman Court, 229-233 Hennessy Road, Wan Chai,"
"pz5u","Congee Belle (Wan Chai)","Congee",4.7,21,"hong kong","Shop 13, G/F, Pao Woo Mansion, 51 Cross Lane, Wan Chai,"
"vbx5","Skinny Dips","Burgers",4.8,15,"hong kong","Shop H, UG/F, Hang Hing Court, 123-125 Third Street, Sai Ying Pun,"
"w6ct","Wong Kee Restaurant","Chiu Chow",4.8,182,"hong kong","G/F King Dao Building, No.14 Burrows Street,  Wai Chai, Hong Kong.,"
"te11","Thai Dee Dee","Thai",4.2,12,"hong kong","G/F, 247 Des Voeux Road West, Sai Ying Pun,"
"m6rc","Coffee By Zion","Coffee",5.0,270,"hong kong","Shop 1-3, G/F, Chun King Court, 83 First Street, Sai Ying Pun,"
"s8cw","Taco Chaca","Mexican",4.9,6050,"hong kong","G/F, 119A Second Street, Sai Ying Pun,"
"b28k","Da Chi Ki Gourmet","Dumpling",4.6,159,"hong kong","Shop 2, G/F, Po Fung Building, 1-7 Centre Street, Sai Ying Pun,"
"ot52","NINJA PIZZA (Sai Ying Pun)","Pizza",4.5,147,"hong kong","Shop 4, G/F, Wing Cheung Building, 19-29 Western Street, Sai Ying Pun,"
"v1ty","Po Lin Yuen Vegetarian Food (Sai Ying Pun)","Cantonese",4.7,1057,"hong kong","G/F.,NO. 308 QUEEN'S ROAD WEST, HONG KONG,"
"v9di","Tung Fong Siu Kee Yuen","Hong Kong",4.9,253,"hong kong","G/F, Sze Lai Building, 241 Hennessy Road, Wan Chai,"
"re8v","Two and a Half Street","Coffee",5.0,80,"hong kong","G/F, 1 David Lane, Sai Ying Pun,"
"eyxm","Sun Fat Kee Congee","Congee",4.6,422,"hong kong","G/F, Chung Wui Mansion, 148 Wan Chai Road, Wan Chai,"
"quw2","LN Coffee","Western",5.0,164,"hong kong","G/F, Altro, 118 Second Street, Sai Ying Pun,"
"u4s0","Paneezi (Sai Ying Pun)","Hong Kong",0.0,0,"hong kong","Portion A of Shops 1 & 2, G/F, High Park 99, 35 Western Street, Sai Ying Pun,"
"lx8j","The Red Hot Chili Burrow","Sichuan",4.8,467,"hong kong","G/F, 301 Queen's Road West, Sai Ying Pun,"
"r1lg","Yeung Yan Kee Noodle Shop","Cantonese",4.8,34,"hong kong","G/F, Tone Hing Building, 211-213 Des Voeux Road West, Sai Ying Pun,"
"w4sn","Shake Shack (Harbour City)","Burgers",4.9,2061,"hong kong","Shop OTG53, G/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui,"
"jqzq","Deli Corner","Japanese",0.0,0,"hong kong","Shop 5, G/F, Wing Cheung Building, 19-29 Western Street, Sai Ying Pun,"
"ditn","Good One Cafe","International",4.8,35,"hong kong","Shop D & E, G/F, Chin Hung Building, 1-15 Heard Street, Wan Chai,"
"h3uk","Supreme Pickled Fish (Wan Chai Heard Street)","Sauerkraut fish",4.8,350,"hong kong","Shop A, G/F, Chin Hung Building, 1-15 Heard Street, Wan Chai,"
"t715","Triple O's (Sai Ying Pun)","Burgers",4.9,366,"hong kong","Shop 1 & 2, G/F, High Park 99, 35 Western Street, Sai Ying Pun,"
"jdgo","B&L","Western",4.6,31,"hong kong","Shop 2, 1/F, Causeway Centre, 28 Harbour Road, Wan Chai,"
"u1bl","Mallacca Spice","Indian",4.7,276,"hong kong","Shop 4, G/F, Wing Cheung Building, 19-29 Western Street, Sai Ying Pun, Western District,"
