StoreId,CompleteStoreName,FoodType,AverageRating,Reviewers,City,Location,District,Admin_District
sl4o,Sichuan Yuet Delicacy,Sichuan,4.9,247,hong kong,"Shop I, G/F & M/F, Welley Building, 97 Wellington Street, Central,",Central,Central and Western District
s8xg,Kenko Syokuhin Ramen (Central),Japanese,4.9,323,hong kong,"Shop B-D, G/F, Welley Building, 97 Wellington Street, Central,",Central,Central and Western District
xda0,Chaska,Indian,5.0,81,hong kong,"Shop 2, G/F, Midland Court, 58-62 Caine Road, Central,",Central,Central and Western District
s7ej,Mostaccioli Brothers - Mo Bros,Italian,5.0,895,hong kong,"B/F & G/F, 16 Elgin Street, Central,",Central,Central and Western District
v2sa,Good Companion,Hong Kong,4.9,276,hong kong,"G/F, 59A Peel Street, Central,",Central,Central and Western District
l6pt,Sweet Heart Fresh Juice,Hong Kong,5.0,46,hong kong,"Shop B, G/F, 101 Wellington Street, Central,",Central,Central and Western District
q0yk,Shugetsu (Central),Ramen,5.0,867,hong kong,"G/F, 5 Gough Street, Central,",Central,Central and Western District
kzdp,Emmer Pizzeria & Café,Western,4.7,237,hong kong,"Shop 407, 4/F, Pacific Place, 88 Queensway, Admiralty,",Admiralty,Central and Western District
x7zv,Chicha (Sheung Wan),Bubble Tea,4.9,1409,hong kong,"G/F, 14 Bonham Strand, Sheung Wan,",Sheung Wan,Central and Western District
w4gb,Point One Bar,Japanese,4.5,42,hong kong,"G/F, 33 Wing Wo Street, Central,",Central,Central and Western District
w0gg,Agora Takeaway Kebab,Kebab,5.0,566,hong kong,"Shop 1B, G/F, 29-31 Hillier Street, Sheung Wan,",Sheung Wan,Central and Western District
s5lq,Katong Laksa Prawn Mee,Singaporean,4.8,618,hong kong,"G/F, Golden Building, 8-10 Mercer Street, Sheung Wan,",Sheung Wan,Central and Western District
s424,Meanwhile Coffee,Western,5.0,159,hong kong,"Shop F2, LG/F, Hillier Building, 33 Hillier Street, Sheung Wan,",Sheung Wan,Central and Western District
c3pz,Tori Yoichi (Central),Japanese,5.0,1,hong kong,"Shop C, G/F, 174-178, Wellington Street, Central,",Central,Central and Western District
u5nw,Metropol Restaurant (Admiralty),Cantonese,4.9,87,hong kong,"4/F, United Centre, 95 Queensway, Admiralty,",Admiralty,Central and Western District
v4ym,United Cafe,Cha Chaan Teng,4.8,455,hong kong,"Shop 2020, 2/F, United Centre, 95 Queensway, Admiralty,",Admiralty,Central and Western District
v8ie,Morikawa Bento (Admiralty),Japanese,4.5,175,hong kong,"Shop 90, 2/F, Admiralty Centre, 18 Harcourt Road, Admiralty,",Admiralty,Central and Western District
w5xv,Brunch Club,Western,5.0,438,hong kong,"G/F, 70 Peel Street, Central,",Central,Central and Western District
yjax,Mi Luck Snack Shop,Hong Kong,4.0,35,hong kong,"Shop 103-104, 2/F, Tower 2, Admiralty Centre, 18 Harcourt Road, Admiralty,",Admiralty,Central and Western District
s812,Huong Vi Quan Viet Bac Vietnamese,Pho,4.9,479,hong kong,"Shop E, G/F, Willy Commercial Building, 28-36 Wing Kut Street, Central,",Central,Central and Western District
ojq7,Free D Coffee (Sheung Wan),Coffee,5.0,28,hong kong,"Shop 4, G/F, Teda Building, 87 Wing Lok Street, Sheung Wan,",Sheung Wan,Central and Western District
jshh,Siony's Lutong Bahay,Filipino,4.9,326,hong kong,"3rd floor, the Hive, 33-35 Hillier St, Sheung Wan, Hong Kong,",Sheung Wan,Central and Western District
v4cy,Loong Moon,Cha Chaan Teng,4.7,32,hong kong,"Shop 99, 2/F, Tower 2, Admiralty Centre, 18 Harcourt Road, Admiralty,",Admiralty,Central and Western District
h6im,Common Ground,Coffee,4.9,21,hong kong,"G/F, 19 Shing Wong Street, Central,",Central,Central and Western District
woo5,Heart Kitchen,Hong Kong,4.9,21,hong kong,"G/F, 11A Mercer Street, Sheung Wan,",Sheung Wan,Central and Western District
s0ls,Jervois Cafe (Sheung Wan),Hong Kong,4.9,759,hong kong,"G/F, Wing Fat House, 3 Jervois Street, Sheung Wan,",Sheung Wan,Central and Western District
s6pn,XOCO Mexican,Mexican,5.0,917,hong kong,"G/F, Ryan Mansion, 31-37 Mosque Street, Mid-Levels,",Mid-Levels,Central and Western District
v4sw,Kiu Heung Yun Nan Rice Noodles (Sheung Wan),Chinese,4.8,1438,hong kong,"G/F, On Wing Building, 79 Wing Lok Street, Sheung Wan,",Sheung Wan,Central and Western District
ylys,Chicano,Mexican,4.9,75,hong kong,"G/F & 1/F, 15 Gough Street, Central,",Central,Central and Western District
ttww,Moment By Moment,Western,4.9,34,hong kong,"Shop H102, 1/F, Block B, Hollywood, PMQ, 35 Aberdeen Street, Central,",Central,Central and Western District
mrya,Pa Shih (Central),Dessert,5.0,267,hong kong,"G/F, 19 Gough Street, Central,",Central,Central and Western District
jup6,O WOW,Western,4.9,24,hong kong,"Shop F1, G/F, Hillier Building, 33 Hillier Street, Sheung Wan,",Sheung Wan,Central and Western District
iv1x,Jessy Coffee Co.,Western,4.9,524,hong kong,"Unit H105, 1/F, Block B, PMQ, 35 Aberdeen Street, Central,",Central,Central and Western District
zrip,Relieve,Japanese,4.9,30,hong kong,"Shop 1, G/F, OVEST, 77 Wing Lok Street,",Sheung Wan,Central and Western District
w2la,Mizimamei,Bubble Tea,4.9,1034,hong kong,"G/F, 16A Aberdeen Street, Central,",Central,Central and Western District
v7ql,Little Hanoi Pho (Sheung Wan),Pho,4.8,980,hong kong,"Shop D, G/F, Willy Commercial Building, 28-36 Wing Kut Street, Central,",Central,Central and Western District
w1rp,Wing Wo Restaurant,Cha Chaan Teng,4.9,84,hong kong,"G/F, Wo Hing Commercial Building, 11 Wing Wo Street, Central,",Central,Central and Western District
x3rz,Thai Basil (Pacific Place),Thai,4.4,204,hong kong,"Shop 112, 1/F, Pacific Place, 88 Queensway, Admiralty,",Admiralty,Central and Western District
u2qt,CongeeDay (Central),Congee,4.6,1057,hong kong,"SoupDay, G/F, Hung Cheong House, 5 Shin Hing Street, Central,",Central,Central and Western District
s9ux,Central Indian Restaurant,Curry,4.3,829,hong kong,"Room 101, 1/F, Cheung's Building, 1-3 Wing Lok Street, Sheung Wan, Sheung Wan",Sheung Wan,Central and Western District
v9gw,Noodle Supreme (Sheung Wan),Hong Kong,4.9,1766,hong kong,"Shop 1, G/F, Kai Fung Building, 22-24 Jervois Street, Sheung Wan,",Sheung Wan,Central and Western District
